epoch,accuracy,loss,val_accuracy,val_loss
0,0.6683666706085205,1.1116673946380615,0.9526000022888184,0.03461889177560806
1,0.9623333215713501,0.02722031995654106,0.9768000245094299,0.016149938106536865
2,0.9785000085830688,0.01562199741601944,0.9836000204086304,0.01149183139204979
3,0.9858666658401489,0.011266620829701424,0.9857000112533569,0.009578065015375614
4,0.9890333414077759,0.008528534322977066,0.9879000186920166,0.007928227074444294
5,0.9913666844367981,0.0066598220728337765,0.9883999824523926,0.0072420258074998856
6,0.9935500025749207,0.005269115790724754,0.989799976348877,0.007473515346646309
7,0.9949333071708679,0.004487975034862757,0.9883999824523926,0.007720642723143101
8,0.9958833456039429,0.0038760097231715918,0.989799976348877,0.006401464808732271
9,0.9968166947364807,0.002998451003804803,0.9898999929428101,0.006370862014591694
10,0.9974666833877563,0.0025788440834730864,0.9904999732971191,0.006009381264448166
11,0.9980833530426025,0.002117658033967018,0.9894999861717224,0.006781954783946276
12,0.998283326625824,0.0019127583364024758,0.9919999837875366,0.00625850073993206
13,0.9988333582878113,0.001569741521961987,0.991599977016449,0.006068216636776924
14,0.9991333484649658,0.0012773778289556503,0.991599977016449,0.006047284696251154
15,0.9992333054542542,0.0011471238685771823,0.991100013256073,0.006398035679012537
16,0.9996166825294495,0.0009036503615789115,0.9921000003814697,0.0063589392229914665
17,0.9994666576385498,0.0009591939160600305,0.9912999868392944,0.006457880605012178
18,0.9994333386421204,0.0008866702555678785,0.9905999898910522,0.0067073204554617405
19,0.9997000098228455,0.0007647700840607285,0.9912999868392944,0.006527760531753302
